mr,ref
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",priceRange_xly priced name_x serves customer rating_x good standard near the near_x in the area_x. But is familyFriendly_x
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no]",name_x is a customer rating_x star rated eatType_x in the area_x area. It serves dishes priceRange_x in familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], near[near_x]",The name_x eatType_x is a food_x food place near the near_x.  It has customer rating_x customer ratings.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",name_x offer food_x food at a priceRange_x cost by the area_x. familyFriendly_x not permitted.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is an customer rating_xly rated eatType_x located near near_x in the area_x. It is familyFriendly_x and serves food_x food.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x serves food_x food and is situated in the area_x area. It has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",customer rating_x of 5 stars and in the mid price range name_x is a food_x eatType_x
"name[name_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",priceRange_x near near_x with higher end prices.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",name_x is located near_x area_x a customer rating_x out of 5 customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x]","A eatType_x in the area_x area, name_x offers food_x food for priceRange_x."
"name[name_x], food[food_x], near[near_x]","Located near near_x, name_x serves food_x food."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]",name_x provides food_x food and with an customer rating_x customer rating they are not familyFriendly_x.
"name[name_x], food[food_x], familyFriendly[yes]",name_x food_x food.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",food_x highly rated area_x British customer rating_x on the outskirts of the city centre.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a customer rating_x-priced food_x eatType_x located area_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",A eatType_x  located area_x is in the customer rating_x price range and customers have food_x. Its name is Fitzbillies.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a very cheap customer rating_x in the eatType_x and area_x.
"name[name_x], priceRange[priceRange_x], familyFriendly[yes]",familyFriendly_x is average priced
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x, a familyFriendly_x eatType_x customer rating_x food_x near_x, has a low priceRange_x and does not welcome children."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x provides food_x food It is located in the area_x. Its customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",priceRange_x familyFriendly_x food_x eatType_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x, with a customer rating_x rating, serves food_x by the area_x. It has a priceRange_x price range but isn'familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is area_x.  It serves expensive food_x food.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a great eatType_x familyFriendly_x food. Prices food_x from priceRange_x. They have a customer rating_x customer rating. Can be found in the area_x. No children allowed
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is an food_x eatType_x with a price range of priceRange_x.   The pub has a very customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is familyFriendly_x eatType_x in the area_x area with a customer rating_x customer rating and prices food_x
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is located near near_x on the area_x. The price is priceRange_x and the food is food_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x]",There is a eatType_x located by the area_x that has a customer rating_x out of 5 customer rating and provides food_x called name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",food_x eatType_x name_x has  a priceRange_x price range.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",The name_x is a familyFriendly_x eatType_x near near_x in the area_x area with food_x food.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",There is a cheap restaurant customer rating_x in the priceRange_x that provides food_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x familyFriendly_x located a few customer rating_x near_x. Its prices are priceRange_xs, and it has  a poor rating  between its clients."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is customer rating_x star food_x located on area_x near_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], near[near_x]",name_x is a eatType_x that serves food_x food in the area_x area near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",For food_x food at priceRange_x prices that isn't familyFriendly_x to name_x that is a area_x eatType_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a eatType_x that sells food_x food and is located in area_x and has a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",name_x is a priceRange_x food_x restaurant with a customer rating_x customer rating near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a eatType_x that is located by the area_x with a customer rating_x customer rating and a price range of priceRange_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","customer rating_xly rated and mid priced, name_x is located in the area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","food_x is customer rating_x, cheeses, and fondues to enjoy at name_x eatType_x."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",name_x food_x star establishment with a familyFriendly_x atmosphere.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",All food_x near a customer rating_x near_x.  Midsummer house is averagely priced and has a five star customer rating.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x in area_x has options priced priceRange_x. It'familyFriendly_x has an customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a eatType_x located by the area_x. Its priceRange_xly priced food_x food has a customer rating of customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",familyFriendly_x food_x food in the priceRange_x price range. It is near near_x. Its customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x]",name_x is a eatType_x in area_x that offers food_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",In the area_x area there is an food_x food venue named name_x. It is in the priceRange_x price range and has an customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","For the best in food_x food costing priceRange_x £25 in the area_x area, visit name_x close to near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a priceRange_x priced food_x eatType_x located in the area_x area and familyFriendly_x
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[yes]","name_x, food_x, has a customer rating_x out of 5 customer rating."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x priceRange_x customer rating_x restaurant. It is familyFriendly_x has a 1 of 5 star rating.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is in area_x near near_x. It is a food_x venue that familyFriendly_x a customer rating_x rating.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",food_x-familyFriendly_x next to near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",name_x is a customer rating_xly rated food_x eatType_x near near_x.  Prices are average.
